X,Data Status,Date,Partner,Offer,Leads,Exclusive Auto Converted,Exclusive Auto Pct Gross,Agent Conversion Eligible,Agent Converted,Agent Conversion Pct,Avg Rev Per Agent Conv,Avg Cost,Avg Scrub Cost,Sum Cost,Sum Scrub Cost,Average Auto Revenue,Sum Auto Revenue,Avg Agent Revenue,Sum of Agent Revenue,Avg Revenue,Sum Revenue,Avg Income,Sum Income,
Feb'22,Regular,2/1/22,Partner_02,Offer_07,92,0,0,92,10,10.87,37.9,2.21,1.65,203,152.25,0,0,4.12,379,4.12,379,2.46,226.75,
Feb'22,Regular,2/1/22,Partner_02,Offer_08,38,0,0,38,4,10.53,18.25,1.98,1.48,75.08,56.33,0,0,1.92,73,1.92,73,0.44,16.67,
Feb'22,Regular,2/1/22,Partner_02,Offer_09,119,0,0,119,3,2.52,26,2.51,1.88,298.61,224.17,0,0,0.66,78,0.66,78,-1.23,-146.17,
Feb'22,Regular,2/1/22,Partner_03,Offer_01,1,0,0,1,0,0,0,3,2.25,3,2.25,0,0,0,0,0,0,-2.25,-2.25,
Feb'22,Regular,2/1/22,Partner_03,Offer_02,76,0,0,76,7,9.21,25,2,1.5,152,114,0,0,2.3,175,2.3,175,0.8,61,
Feb'22,Coreg,2/1/22,Partner_03,Offer_18,1,0,0,1,0,0,0,1.01,0.76,1.01,0.76,0,0,0,0,0,0,-0.76,-0.76,
Feb'22,Regular,2/1/22,Partner_03,Offer_04,3,0,0,3,0,0,0,3,2.25,9,6.75,0,0,0,0,0,0,-2.25,-6.75,
Feb'22,Coreg,2/1/22,Partner_03,Offer_19,17,0,0,17,1,5.88,17,0.51,0.38,8.67,6.46,0,0,1,17,1,17,0.62,10.54,
Feb'22,Regular,2/1/22,Partner_03,Offer_14,4,0,0,4,0,0,0,1.25,0.94,5.01,3.76,0,0,0,0,0,0,-0.94,-3.76,
Feb'22,Regular,2/1/22,Partner_03,Offer_15,1,0,0,1,0,0,0,2,1.5,2,1.5,0,0,0,0,0,0,-1.5,-1.5,
Feb'22,Regular,2/1/22,Partner_03,Offer_06,5,0,0,5,2,40,21,1.8,1.35,9.01,6.76,0,0,8.4,42,8.4,42,7.05,35.24,
Feb'22,Coreg,2/1/22,Partner_03,Offer_20,2,0,0,2,0,0,0,1.01,0.76,2.02,1.52,0,0,0,0,0,0,-0.76,-1.52,
Feb'22,Regular,2/1/22,Partner_03,Offer_07,69,0,0,69,3,4.35,18,1.92,1.44,132.47,99.47,0,0,0.78,54,0.78,54,-0.66,-45.47,
Feb'22,Regular,2/1/22,Partner_03,Offer_08,2,0,0,2,0,0,0,2.5,1.88,5,3.75,0,0,0,0,0,0,-1.88,-3.75,
Feb'22,Regular,2/1/22,Partner_03,Offer_09,142,0,0,142,10,7.04,36.3,2.13,1.6,302.15,226.71,0,0,2.56,363,2.56,363,0.96,136.29,
Feb'22,Regular,2/1/22,Partner_04,Offer_04,7,0,0,7,3,42.86,21,5.01,4.51,35.07,31.57,0,0,9,63,9,63,4.49,31.43,
Feb'22,Regular,2/1/22,Partner_04,Offer_05,9,0,0,9,0,0,0,2.01,1.81,18.09,16.29,0,0,0,0,0,0,-1.81,-16.29,
Feb'22,Regular,2/1/22,Partner_04,Offer_07,26,0,0,26,10,38.46,20.6,2.27,2.04,59.05,53.15,0,0,7.92,206,7.92,206,5.88,152.85,
Feb'22,Regular,2/1/22,Partner_04,Offer_09,5,0,0,5,0,0,0,2.21,1.99,11.03,9.93,0,0,0,0,0,0,-1.99,-9.93,
Feb'22,Regular,2/1/22,Partner_05,Offer_01,3,0,0,3,2,66.67,47,3.67,2.93,11,8.8,0,0,31.33,94,31.33,94,28.4,85.2,
Feb'22,Regular,2/1/22,Partner_05,Offer_12,2,0,0,2,0,0,0,2.01,1.81,4.02,3.62,0,0,0,0,0,0,-1.81,-3.62,
